2
44	0	3
23	0	1
8	0	2
2	0	2
56	0	2
12	0	1
40	0	1
66	0	3
48	0	3
28	0	3
23	0	2
73	0	2
21	0	3
1	0	2
2	0	2
93	0	2
39	1	3
43	1	2
29	1	3
84	1	1
3	1	1
3	1	1
66	1	1
72	2	3
11	2	3
41	2	3
60	2	1
61	2	1
86	2	2
93	2	2
60	2	2
14	2	2
58	2	1
51	2	1
100	3	2
25	3	2
17	3	2
2	3	2
1	3	1
60	3	3
37	3	1
44	4	3
60	4	2
49	4	2
4	4	2
54	4	1
97	4	3
74	4	3
18	4	2
26	5	3
10	5	1
63	5	2
26	5	1
78	5	3
14	5	1
19	5	2
100	5	3
50	5	1
21	6	2
99	6	1
12	6	2
43	6	1
4	6	3
62	6	1
39	6	1
7	6	1
83	6	1
36	6	1
89	6	2
93	7	3
47	7	2
72	7	1
98	7	1
24	7	3
81	7	1
17	7	2
77	7	3
35	8	2
66	8	2
81	8	1
81	8	1
92	8	1
81	8	3
54	8	1
40	8	2
78	8	1
36	8	1
19	9	1
47	9	2
10	9	2
17	9	3
67	9	3
97	9	1
48	10	2
71	10	2
72	10	2
71	10	3
3	10	1
98	10	1
25	10	1
